Generation,Time Seconds,Best Fitness,Avg Fitness,Best Speed,Average Speed,Best Vision,Average Vision,Best Age,Average Age,Best Food Eaten,Average Food Eaten
164,1791.0,324.5,110.45,5.47,5.27,270.73,259.46,1791.0,675.05,14,3.74
165,3602.0,577.01,109.74,5.47,5.26,273.59,261.04,3602.0,673.36,22,3.77
166,2226.33,355.39,112.98,5.53,5.28,273.46,265.03,2226.33,691.59,14,3.82
167,1561.67,273.07,108.64,5.53,5.37,276.08,266.96,1561.67,649.64,14,3.68
168,2049.0,344.42,108.97,5.62,5.4,277.22,267.03,2049.0,643.9,13,3.67
169,1368.33,265.0,109.33,5.65,5.41,279.39,267.37,1368.33,644.08,13,3.71
170,2147.0,351.51,114.15,5.7,5.46,278.92,265.08,2147.0,687.8,12,3.73
171,2450.33,394.43,109.2,5.68,5.42,276.91,262.87,2165.67,653.35,16,3.64
172,1598.33,259.37,104.62,5.6,5.35,277.93,261.01,1560.67,630.42,11,3.47
173,1528.67,280.2,106.16,5.63,5.4,275.75,261.18,1528.67,626.37,13,3.6
174,1784.67,350.14,107.7,5.73,5.45,279.17,261.52,1784.67,638.07,16,3.62
175,1436.67,273.32,108.88,5.72,5.52,283.44,255.84,1436.67,625.39,12,3.74
176,1097.67,260.78,108.2,5.82,5.65,253.06,248.08,1097.67,617.82,13,3.53
177,1216.0,239.92,105.98,5.88,5.7,255.07,247.64,1216.0,585.96,13,3.66
178,1342.0,330.01,106.51,5.76,5.64,254.34,246.76,1342.0,586.23,18,3.73
179,1793.67,366.01,102.27,5.71,5.59,255.1,247.89,1793.67,568.8,16,3.55
180,1728.67,371.45,101.48,5.76,5.57,257.82,249.68,1728.67,560.61,17,3.55
181,1162.0,220.18,101.57,5.83,5.65,262.39,252.45,1162.0,564.59,10,3.46
182,1412.33,265.76,106.77,5.82,5.66,265.81,254.46,1412.33,591.09,13,3.66
183,1254.67,246.52,103.64,5.85,5.67,266.91,256.92,1254.67,570.61,13,3.57
184,1178.67,304.97,103.96,5.88,5.69,268.6,259.37,1178.67,566.28,17,3.62
185,1446.0,332.63,100.58,5.88,5.72,270.83,261.5,1446.0,551.34,17,3.41
186,1245.33,262.31,102.45,5.9,5.71,271.05,263.5,1245.33,563.65,12,3.46
187,1584.33,321.79,109.76,5.96,5.77,271.27,262.51,1584.33,603.28,17,3.73
188,1464.67,302.02,104.12,5.91,5.72,275.08,264.67,1464.67,579.24,14,3.48
189,1634.67,296.63,107.82,5.94,5.71,275.58,263.87,1634.67,591.44,11,3.76
190,1231.67,241.83,106.1,5.85,5.65,277.74,267.2,1231.67,588.41,12,3.7
191,1158.33,256.67,101.29,5.83,5.64,278.24,268.65,1158.33,559.71,14,3.57
